branching_factor,false_positive_rate,max_elements,total storage,name,num_nodes_visited,nodes_visited,time,leaf_nodes_reached,nodes_per_depth
2,0.0001,1000,364249,Zane,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Cora,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Ida,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Pedro,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Jody,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Colleen,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Greg,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Tomas,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Chelsie,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Jon,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Agnes,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Harriet,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Sherrie,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Carolina,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Annie,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Lauretta,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Leota,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Darron,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Kristine,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Jenette,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Rueben,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Emiko,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Harry,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Phyllis,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Hanna,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Phyllis,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Keisha,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Kerry,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Neal,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Rosario,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Ida,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Mario,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Harry,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Foster,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Roderick,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,1e-05,1000,455297,Emerita,0,[],0.007794857025146484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
